timestamp,temp,humidity,moisture,status
2025-12-10 14:16:31,22.0,50.0,100,HEALTHY
2025-12-10 14:16:36,22.0,50.0,100,HEALTHY
2025-12-10 14:16:41,22.0,50.0,100,HEALTHY
2025-12-10 14:16:46,22.0,50.0,100,HEALTHY
2025-12-10 14:16:51,22.0,50.0,100,HEALTHY
2025-12-10 14:16:56,22.0,50.0,100,HEALTHY
2025-12-10 14:17:01,22.0,50.0,100,HEALTHY
2025-12-10 14:17:06,22.0,50.0,100,HEALTHY
2025-12-10 14:17:11,22.0,50.0,100,HEALTHY
2025-12-10 14:17:16,22.0,50.0,100,HEALTHY
2025-12-10 14:17:21,22.0,50.0,100,HEALTHY
2025-12-10 14:17:26,22.0,50.0,100,HEALTHY
2025-12-10 14:17:31,22.0,50.0,100,HEALTHY
2025-12-10 14:17:36,22.0,50.0,100,HEALTHY
2025-12-10 14:17:41,22.0,50.0,100,HEALTHY
2025-12-10 14:17:46,22.0,50.0,100,HEALTHY
2025-12-10 14:17:51,22.0,50.0,100,HEALTHY
2025-12-10 14:17:56,22.0,50.0,100,HEALTHY
2025-12-10 14:18:01,22.0,50.0,100,HEALTHY
2025-12-10 14:18:06,22.0,50.0,100,HEALTHY
2025-12-10 14:18:11,22.0,50.0,100,HEALTHY
2025-12-10 14:18:16,22.0,50.0,100,HEALTHY
2025-12-10 14:18:21,22.0,50.0,100,HEALTHY
2025-12-10 14:18:26,22.0,50.0,100,HEALTHY
2025-12-10 14:18:31,22.0,50.0,100,HEALTHY
2025-12-10 14:18:36,22.0,50.0,100,HEALTHY
2025-12-10 14:18:41,22.0,50.0,100,HEALTHY
2025-12-10 14:18:46,22.0,50.0,100,HEALTHY
2025-12-10 14:18:51,22.0,50.0,100,HEALTHY
2025-12-10 14:18:56,22.0,50.0,100,HEALTHY
2025-12-10 14:19:01,22.0,50.0,100,HEALTHY
2025-12-10 14:19:06,22.0,50.0,100,HEALTHY
2025-12-10 14:19:11,22.0,50.0,100,HEALTHY
2025-12-10 14:19:16,22.0,50.0,100,HEALTHY
2025-12-10 14:19:21,22.0,50.0,100,HEALTHY
2025-12-10 14:19:26,22.0,50.0,100,HEALTHY
2025-12-10 14:19:31,22.0,50.0,100,HEALTHY
2025-12-10 14:19:36,22.0,50.0,100,HEALTHY
2025-12-10 14:19:41,22.0,50.0,100,HEALTHY
2025-12-10 14:19:46,22.0,50.0,100,HEALTHY
2025-12-10 14:19:51,22.0,50.0,100,HEALTHY
2025-12-10 14:19:56,22.0,50.0,100,HEALTHY
2025-12-10 14:20:01,22.0,50.0,100,HEALTHY
2025-12-10 14:20:06,22.0,50.0,100,HEALTHY
2025-12-10 14:20:11,22.0,50.0,100,HEALTHY
2025-12-10 14:20:16,22.0,50.0,100,HEALTHY
2025-12-10 14:20:21,22.0,50.0,100,HEALTHY
2025-12-10 14:20:26,22.0,50.0,100,HEALTHY
